	Unnamed: 0	lemme	freqlemlivres	freqlemlivres_cumsum	freqlemlivres_cumsumpercent
255	129897	tourner	377.09	611398.7699999999	61.13987699999999
256	57798	fond	376.15	611774.9199999999	61.177492
257	99201	pourtant	375.68	612150.6	61.21506
258	6313	année	375.54	612526.14	61.252614
259	11332	autres	375.14	612901.28	61.290128
260	96971	plein	370.41	613271.6900000001	61.32716900000001
261	27117	comme	365.68	613637.3700000001	61.36373700000002
262	11317	autour	361.55	613998.9200000003	61.39989200000002
263	66297	histoire	359.53	614358.4500000002	61.43584500000002
264	55014	fait	355.54	614713.9900000002	61.47139900000002
265	64408	guerre	354.59	615068.5800000002	61.50685800000002
266	5222	ami	354.12	615422.7000000002	61.542270000000016
267	64147	gros	353.45	615776.15	61.577615000000016
268	135649	ville	352.97	616129.1200000001	61.61291200000001
269	136102	vite	351.89	616481.0100000001	61.64810100000001
270	38702	doute	350.07	616831.0800000001	61.683108
271	79267	mal	349.46	617180.54	61.718054
272	35690	derrière	349.39	617529.93	61.752993
273	3953	ailleurs	346.35	617876.28	61.78762800000001
274	57938	force	344.73	618221.01	61.822101
275	127389	tard	344.26	618565.27	61.856527
276	138963	écrire	341.82	618907.09	61.890709
277	71868	instant	340.2	619247.2899999999	61.92472899999999
278	110819	reprendre	340.14	619587.4299999999	61.95874299999999
279	77336	lit	338.18	619925.61	61.992561
280	74614	jouer	337.23	620262.84	62.026284
281	74351	jeter	336.82	620599.6599999999	62.05996599999999
282	77742	longtemps	335.54	620935.2	62.09352
283	121268	soleil	334.39	621269.59	62.126959
284	92982	pas	334.19	621603.7799999999	62.160378
285	133518	un	329.53	621933.3099999999	62.19333099999999
286	136337	voilà	329.12	622262.4299999999	62.226243000000004
287	67977	idée	328.45	622590.8799999999	62.25908799999999
288	104123	question	328.45	622919.3299999997	62.29193299999999
289	92253	parce que	327.43	623246.7599999999	62.32467599999999
290	80203	marcher	325.61	623572.3699999999	62.35723699999999
291	120477	silence	325.54	623897.9099999999	62.38979099999999
292	81803	monsieur	324.86	624222.7699999999	62.42227699999999
293	77238	lire	324.8	624547.57	62.454757
294	97562	point	323.58	624871.1499999999	62.48711499999999
295	52617	est-ce que	322.23	625193.3799999999	62.51933799999999
296	112498	rire	320.54	625513.9199999999	62.55139199999999
297	92708	part	320.41	625834.33	62.58343299999999
298	22211	celui	319.19	626153.5199999999	62.61535199999999
299	104267	quitter	318.72	626472.2399999999	62.64722399999999
300	85077	mur	317.77	626790.0099999999	62.67900099999999
301	56652	fin	314.53	627104.5399999999	62.71045399999999
302	138842	écouter	314.05	627418.59	62.741859
303	94643	personne	312.16	627730.75	62.773075
304	95010	peur	311.69	628042.44	62.804244
305	129270	ton	310.47	628352.9099999999	62.83529099999999
306	22502	ceux	309.86	628662.7699999999	62.86627699999999
307	105216	raison	308.78	628971.5499999999	62.89715499999999
308	129813	tour	308.72	629280.2699999999	62.92802699999999
309	121730	sorte	307.16	629587.4299999999	62.95874299999999
310	24839	ciel	305.2	629892.6299999999	62.989262999999994
311	83419	mois	304.86	630197.4899999999	63.01974899999999
312	35706	descendre	301.62	630499.1099999999	63.04991099999999
313	15643	bois	299.46	630798.5699999997	63.07985699999998
314	22180	celle	299.46	631098.0299999998	63.10980299999998
315	59010	français	298.85	631396.8799999998	63.13968799999998
316	99112	pourquoi	297.64	631694.5199999998	63.16945199999998
317	3737	ah	297.16	631991.6799999998	63.19916799999998
318	52447	essayer	296.69	632288.3699999998	63.228836999999984
319	88018	nouveau	292.43	632580.7999999998	63.25807999999998
320	125573	surtout	291.49	632872.2899999998	63.28722899999998
321	111871	retourner	290.88	633163.1699999998	63.316316999999984
322	99229	pousser	288.92	633452.09	63.34520899999998
